date,participant,app_name,app_version,session_id,reporting_time,reporting_mins,reporting_secs,reporting_millis
08/23/2021 03:25:44,P21,GnuCash,2.1.3,97317f1b-5c1a-491e-89a1-d4b37d84e5d6,09 min - 20 sec,9,20,560714
08/23/2021 03:31:54,P21,Droid Weight,1.5.4,8ea78c05-e3bc-4c21-88f7-4ff67777bbba,05 min - 03 sec,5,3,303489
08/23/2021 05:07:30,P16,Android Token,2.10,240a16db-b89c-4548-af30-948b0f0ab91b,02 min - 18 sec,2,18,138657
08/23/2021 05:10:53,P16,Android Token,2.10,2783a82b-fbc1-4f3e-b973-54113263b91d,01 min - 16 sec,1,16,76618
08/23/2021 05:14:59,P16,Android Token,2.10,b03cac53-568b-4985-abd5-aff4f1305df9,03 min - 47 sec,3,47,227253
08/23/2021 05:18:59,P16,Android Token,2.10,1bbd5c41-d8a6-4f97-afc2-8eb6e20974e8,03 min - 53 sec,3,53,233864
08/23/2021 05:22:34,P16,Droid Weight,1.5.4,0dd08354-c060-4ebf-aa17-2ce4451fd2e0,02 min - 57 sec,2,57,177756
08/23/2021 05:27:34,P16,Grow Tracker,2.3.1,a2658201-c402-41e3-b342-5f9700442692,03 min - 32 sec,3,32,212758
08/23/2021 14:50:30,P23,ATimeTracker,0.20,979b79be-fd8d-4d35-b7ca-783d0cfc3bd8,48 min - 46 sec,48,46,2926382
08/23/2021 15:05:52,P23,Grow Tracker,2.3.1,46bbba6c-f31e-4def-a1bb-055a496a2171,14 min - 31 sec,14,31,871425
08/23/2021 15:12:39,P23,Android Token,2.10,cc9b64a5-f6e8-4d09-bd35-5748e266b731,06 min - 09 sec,6,9,369796
08/23/2021 22:13:51,P15,Android Token,2.10,29dca264-73a0-4eee-881e-95f8f44ac66e,05 min - 08 sec,5,8,308208
08/23/2021 22:24:39,P15,GnuCash,1.0.3,95122188-f8e7-45bd-a29f-ab61f0d11b9f,04 min - 37 sec,4,37,277868
08/23/2021 22:29:42,P15,Grow Tracker,2.3.1,393ed5e0-4b5c-463f-8823-4909eb01263a,04 min - 06 sec,4,6,246001
08/24/2021 21:46:56,P20,AntennaPod,1.6.2.3,849b0ee4-9b02-4a66-97cf-b19be6db97de,11 min - 01 sec,11,1,661259
08/24/2021 21:57:42,P20,Grow Tracker,2.3.1,ce4a3f12-eeb2-43b8-9298-5f4b31375cb1,04 min - 01 sec,4,1,241688
08/24/2021 22:10:55,P20,Droid Weight,1.5.4,4f92e80b-c4e9-48b4-9f71-b9aa7c73f5c8,08 min - 09 sec,8,9,489928
08/26/2021 21:44:22,P4,AntennaPod,1.6.2.3,b6bf0805-20a7-42d9-a610-3fe8f72f2139,48 min - 01 sec,48,1,2881078
08/26/2021 22:00:48,P4,AntennaPod,1.6.2.3,e5444312-aca5-4a48-9194-14e069d00a0f,08 min - 44 sec,8,44,524223
08/26/2021 22:04:02,P4,ATimeTracker,0.20,b040e2d2-13be-4795-9318-2b4592ecda85,03 min - 06 sec,3,6,186254
08/26/2021 22:06:10,P4,ATimeTracker,0.20,156ae9b5-32eb-42a6-a309-4d52c06738ad,01 min - 59 sec,1,59,119248
08/26/2021 22:15:18,P4,ATimeTracker,0.20,c72a2697-6f9f-4c3e-9736-fc33bc58f8ff,09 min - 00 sec,9,0,540783
08/26/2021 22:26:00,P4,Grow Tracker,2.3.1,06187680-47a8-47db-9ab9-82697f8e3dbe,08 min - 49 sec,8,49,529211
08/27/2021 15:55:07,P10,ATimeTracker,0.20,6e17a1cc-c4c4-4096-acb8-ec26266b021c,06 min - 18 sec,6,18,378075
08/27/2021 16:23:36,P10,AntennaPod,1.6.2.3,cc5ca969-c52f-4b73-932e-8aebd5bd0f87,25 min - 54 sec,25,54,1554680
08/27/2021 16:29:22,P10,AntennaPod,1.6.2.3,cdda1d1e-b528-4120-a05d-6f0bfe7255d4,05 min - 35 sec,5,35,335460
08/27/2021 16:41:43,P10,GnuCash,1.0.3,c9b8f500-34c5-455d-bae6-14c5c7f35d77,12 min - 00 sec,12,0,720315
